group,team,p_1st,p_2nd,p_3rd,p_4th,exp_pts,exp_gd,exp_gf
A,Mexico,0.7236046590695606,0.20656523278332448,0.06733771781026965,0.002492390336844682,6.783667731697336,3.6470706725491264,5.3825705009789
A,South Korea,0.1717033622693332,0.48040321439478956,0.2694867938676187,0.07840662946825894,4.729430715574558,0.5888029426894739,4.019330906081611
A,Czech Republic,0.10064197859526541,0.2618046873519488,0.41710184570568576,0.22045148834710046,3.7339646404173035,-0.6275338313181231,3.705215592429837
A,South Africa,0.004050000065840242,0.05122686546993764,0.2460736426164262,0.6986494918477965,1.5559556469121985,-3.60833978392048,1.643979593707316
B,Switzerland,0.6177662305435401,0.30089948873263594,0.07033145474192327,0.01100282598190022,6.465788496468543,4.532078518794426,6.799837879775054
B,Canada,0.33877377672981174,0.5256177618210991,0.11445979184652473,0.021148669602564635,5.897568093751284,2.9017445187202053,5.122851977992576
B,Bosnia and Herzegovina,0.03693979927390889,0.13515509872709577,0.5955147978206593,0.23239030417833612,2.87354447950585,-1.7287840580992573,2.8852254268230726
B,Qatar,0.006520193452738982,0.03832765071916935,0.21969395559089258,0.7354582002371994,1.4838658670046778,-5.705038979415377,1.843494513421097
C,Brazil,0.682903694096635,0.24218233327734623,0.06542508680815273,0.009488885817866312,6.698520018364236,4.378645003925488,6.987613380447739
C,Morocco,0.2525964717395179,0.529380000389517,0.18688235169849632,0.03114117617246918,5.442425803566627,2.057619962526622,4.187230655695286
C,Scotland,0.05978790816757445,0.2018126605326544,0.619257340327795,0.11914209097197587,3.5185473044501254,-0.729328701538907,3.8666479436884384
C,Haiti,0.004711925996272711,0.026625005800482833,0.1284352211655558,0.8402278470376888,1.095819109788656,-5.706936264913204,2.0161507930912963
D,Turkey,0.4184994649413161,0.2677094478583477,0.1733069900567298,0.14048409714360638,4.8686825893044245,1.1099983240607127,4.566060318917317
D,Paraguay,0.26563098150881315,0.3066567025893982,0.25121671821431646,0.17649559768747203,4.341873252931091,0.4002749041136468,3.627344737458099
D,United States,0.19251139736503792,0.20116173037094084,0.26434370507067984,0.3419831671933415,3.799823312167412,-0.6163050916825702,4.13712948928602
D,Australia,0.12335815618483288,0.22447211918131307,0.3111325866582739,0.34103713797558016,3.261672981554665,-0.8939681364917893,2.965815174534396
E,Germany,0.5678284345132212,0.2828649262018365,0.13433798369297303,0.014968655591968983,6.090807818382442,4.123122569581929,6.282342272074633
E,Ecuador,0.3301092425462829,0.46734794947877256,0.1808961379054876,0.02164667006945722,5.74019654801783,2.439975580531174,4.082101450970588
E,Ivory Coast,0.09844396830323288,0.2314547670696646,0.575834438389589,0.09426682623751369,3.9646742183829775,0.255828293260956,3.221020216013305
E,Curaçao,0.00361835463726313,0.018332357249726258,0.10893144001195051,0.8691178481010604,0.9594732459570654,-6.818926443374056,1.3233045165282917
F,Netherlands,0.5924609261873475,0.31711104174692295,0.07332376320997615,0.017104268855753148,6.336584544345921,3.336663400489859,5.877327423163974
F,Japan,0.3606553327815349,0.5005691029324981,0.11115993809617053,0.027615626189796547,5.827632950381247,2.537224429516891,4.495040471507978
F,Sweden,0.03131501221667307,0.1142162368272793,0.41574680309502754,0.43872194786102037,2.5649825488043314,-2.5597113909794604,3.2932306113096814
F,Tunisia,0.015568728814444236,0.06810361849329967,0.399769495598826,0.5165581570934301,1.9181561790239892,-3.314176439027285,2.0994249533344727
G,Belgium,0.672273939012352,0.21692037298920916,0.08557743934062438,0.02522824865781483,6.317889914512578,3.4031695753086795,5.532694441638658
