stage,match_no,group,home_team,away_team,p_pairing,p_home,p_draw,p_away,ci_home_lo,ci_home_hi,ci_draw_lo,ci_draw_hi,ci_away_lo,ci_away_hi,cal_home,cal_draw,cal_away
group,,A,Mexico,South Korea,1.0,0.5776,0.2773,0.1451,0.3139,0.8248,0.125,0.4119,0.0411,0.3387,0.5193,0.2607,0.22
group,,A,Mexico,South Africa,1.0,0.7213,0.2082,0.0706,0.4522,0.9194,0.0636,0.3853,0.0125,0.205,0.7452,0.1831,0.0717
group,,A,Mexico,Czech Republic,1.0,0.6219,0.2449,0.1332,0.3374,0.8761,0.0947,0.3782,0.031,0.3445,0.5803,0.2242,0.1955
group,,A,South Korea,South Africa,1.0,0.4993,0.3064,0.1943,0.2311,0.7818,0.153,0.4323,0.0438,0.4431,0.65,0.2139,0.1361
group,,A,South Korea,Czech Republic,1.0,0.3667,0.2982,0.335,0.1319,0.6829,0.1689,0.3927,0.1129,0.6403,0.467,0.2437,0.2893
group,,A,South Africa,Czech Republic,1.0,0.208,0.2838,0.5082,0.0571,0.4733,0.1416,0.404,0.2277,0.7997,0.2264,0.2545,0.5191
group,,B,Canada,Switzerland,1.0,0.2872,0.3201,0.3927,0.0962,0.5634,0.1821,0.4392,0.1415,0.6865,0.3029,0.3251,0.372
group,,B,Canada,Qatar,1.0,0.8508,0.1202,0.0289,0.6048,0.9718,0.0249,0.2985,0.0033,0.1257,0.7589,0.1851,0.056
group,,B,Canada,Bosnia and Herzegovina,1.0,0.5668,0.2986,0.1346,0.2762,0.8298,0.1356,0.4381,0.0293,0.3408,0.6603,0.221,0.1187
group,,B,Switzerland,Qatar,1.0,0.9297,0.0558,0.0145,0.7146,0.9926,0.006,0.1994,0.0009,0.0832,0.8685,0.0944,0.0371
group,,B,Switzerland,Bosnia and Herzegovina,1.0,0.6841,0.2121,0.1038,0.3715,0.9028,0.0668,0.351,0.0207,0.3089,0.714,0.1828,0.1032
group,,B,Qatar,Bosnia and Herzegovina,1.0,0.1128,0.238,0.6492,0.0215,0.3261,0.0916,0.3828,0.3384,0.8733,0.218,0.2709,0.5111
