stage,match_no,group,home_team,away_team,p_pairing,p_home,p_draw,p_away,ci_home_lo,ci_home_hi,ci_draw_lo,ci_draw_hi,ci_away_lo,ci_away_hi,cal_home,cal_draw,cal_away
group,,A,Mexico,South Korea,1.0,0.5721,0.2629,0.165,0.2579,0.874,0.0896,0.4033,0.0365,0.4259,0.4641,0.2852,0.2507
group,,A,Mexico,South Africa,1.0,0.6049,0.2568,0.1383,0.2733,0.8996,0.0784,0.3996,0.0204,0.4016,0.719,0.1842,0.0968
group,,A,Mexico,Czech Republic,1.0,0.3988,0.2914,0.3098,0.1337,0.7541,0.1457,0.3743,0.0851,0.6036,0.4088,0.2873,0.3039
group,,A,South Korea,South Africa,1.0,0.3803,0.3249,0.2948,0.1079,0.7078,0.1549,0.4052,0.0772,0.606,0.515,0.2685,0.2165
group,,A,South Korea,Czech Republic,1.0,0.1979,0.266,0.5361,0.0373,0.4952,0.1129,0.3727,0.2167,0.8451,0.337,0.2645,0.3985
group,,A,South Africa,Czech Republic,1.0,0.1663,0.262,0.5717,0.0246,0.4801,0.0867,0.3911,0.2007,0.8826,0.2195,0.2588,0.5217
group,,B,Canada,Switzerland,1.0,0.3365,0.2948,0.3687,0.1099,0.6655,0.1576,0.3822,0.1089,0.6879,0.3074,0.3074,0.3852
group,,B,Canada,Qatar,1.0,0.8158,0.1235,0.0607,0.5124,0.9808,0.0146,0.2799,0.0043,0.2506,0.795,0.1346,0.0705
group,,B,Canada,Bosnia and Herzegovina,1.0,0.6467,0.2443,0.109,0.3284,0.8902,0.0878,0.3896,0.019,0.3219,0.7235,0.1716,0.1048
group,,B,Switzerland,Qatar,1.0,0.8298,0.1145,0.0557,0.5071,0.979,0.0175,0.2636,0.005,0.2298,0.8104,0.1343,0.0553
group,,B,Switzerland,Bosnia and Herzegovina,1.0,0.663,0.2337,0.1033,0.3813,0.8883,0.0846,0.3871,0.0214,0.2962,0.7204,0.1752,0.1044
group,,B,Qatar,Bosnia and Herzegovina,1.0,0.2873,0.2887,0.4239,0.0698,0.5932,0.1194,0.3783,0.155,0.7848,0.3042,0.2751,0.4206
group,,C,Brazil,Morocco,1.0,0.4768,0.3124,0.2107,0.1589,0.8537,0.1088,0.4541,0.0334,0.4958,0.5607,0.2581,0.1812
group,,C,Brazil,Scotland,1.0,0.6347,0.2363,0.129,0.3028,0.8981,0.0743,0.3835,0.0232,0.3604,0.7203,0.1826,0.097
group,,C,Brazil,Haiti,1.0,0.9156,0.0631,0.0212,0.6077,0.9963,0.0031,0.2609,0.0005,0.1524,0.8823,0.0807,0.037
group,,C,Morocco,Scotland,1.0,0.4131,0.3713,0.2156,0.1521,0.6883,0.1929,0.475,0.06,0.5644,0.4954,0.2691,0.2355
group,,C,Morocco,Haiti,1.0,0.7272,0.2003,0.0724,0.3429,0.9633,0.0309,0.4128,0.0045,0.3159,0.7423,0.1603,0.0975
group,,C,Scotland,Haiti,1.0,0.6377,0.2356,0.1267,0.2697,0.9391,0.0427,0.3951,0.0129,0.4015,0.5526,0.2595,0.1878
group,,D,United States,Paraguay,1.0,0.2852,0.3454,0.3694,0.0973,0.591,0.2052,0.4418,0.1351,0.6702,0.3398,0.2629,0.3973
group,,D,United States,Australia,1.0,0.3672,0.3189,0.314,0.1147,0.7303,0.1524,0.4058,0.0929,0.6315,0.4418,0.2788,0.2794
group,,D,United States,Turkey,1.0,0.3164,0.2775,0.4061,0.0889,0.6078,0.1434,0.3509,0.1437,0.7243,0.2729,0.2684,0.4588
group,,D,Paraguay,Australia,1.0,0.365,0.3859,0.2491,0.1387,0.6953,0.1973,0.5027,0.0722,0.5164,0.4245,0.2928,0.2826
group,,D,Paraguay,Turkey,1.0,0.3321,0.3464,0.3214,0.1009,0.6419,0.1908,0.4423,0.1163,0.6221,0.2851,0.3262,0.3887
group,,D,Australia,Turkey,1.0,0.2776,0.3136,0.4088,0.064,0.5886,0.1537,0.4269,0.1336,0.7664,0.2428,0.2708,0.4864
group,,E,Germany,Ecuador,1.0,0.3479,0.3677,0.2844,0.1159,0.6732,0.1993,0.4796,0.098,0.5661,0.4195,0.32,0.2605
group,,E,Germany,Ivory Coast,1.0,0.6777,0.2279,0.0944,0.3013,0.9507,0.0422,0.4123,0.0109,0.3054,0.7068,0.1837,0.1095
group,,E,Germany,Curaçao,1.0,0.9716,0.0238,0.0045,0.7848,0.9993,0.0007,0.1615,0.0001,0.0548,0.9532,0.0238,0.023
group,,E,Ecuador,Ivory Coast,1.0,0.49,0.3983,0.1117,0.2136,0.82,0.1416,0.5767,0.0234,0.3004,0.5872,0.2455,0.1673
group,,E,Ecuador,Curaçao,1.0,0.8604,0.1227,0.0168,0.5507,0.9904,0.009,0.3734,0.0008,0.0809,0.7946,0.1603,0.0452
group,,E,Ivory Coast,Curaçao,1.0,0.6725,0.2526,0.0749,0.2927,0.9452,0.0478,0.451,0.0074,0.2632,0.7453,0.1775,0.0772
group,,F,Netherlands,Japan,1.0,0.43,0.2924,0.2776,0.1432,0.7926,0.1349,0.395,0.0677,0.5806,0.4399,0.2815,0.2786
group,,F,Netherlands,Tunisia,1.0,0.595,0.2949,0.1101,0.2431,0.9211,0.0655,0.4894,0.0145,0.3174,0.7326,0.1914,0.0759
group,,F,Netherlands,Sweden,1.0,0.6551,0.1946,0.1504,0.3341,0.9043,0.0637,0.3165,0.0288,0.4091,0.7359,0.1726,0.0915
group,,F,Japan,Tunisia,1.0,0.4736,0.3875,0.1389,0.2015,0.8015,0.164,0.5548,0.0283,0.3677,0.6358,0.2273,0.1369
group,,F,Japan,Sweden,1.0,0.5191,0.271,0.2099,0.1889,0.8332,0.1166,0.377,0.0418,0.565,0.5864,0.2336,0.18
group,,F,Tunisia,Sweden,1.0,0.2305,0.3644,0.4051,0.0452,0.5341,0.1571,0.5058,0.1186,0.8116,0.2993,0.2972,0.4035
group,,G,Belgium,Iran,1.0,0.4925,0.2981,0.2093,0.1925,0.8414,0.1261,0.3986,0.0504,0.4861,0.4973,0.2742,0.2285
