stage,group,home_team,away_team,p_home,p_draw,p_away,rank,score,prob
group,A,Mexico,South Korea,0.5721,0.2629,0.165,1,1-1,0.1258
group,A,Mexico,South Korea,0.5721,0.2629,0.165,2,2-0,0.1102
group,A,Mexico,South Korea,0.5721,0.2629,0.165,3,1-0,0.1054
group,A,Mexico,South Korea,0.5721,0.2629,0.165,4,2-1,0.0978
group,A,Mexico,South Korea,0.5721,0.2629,0.165,5,0-0,0.0851
group,A,Mexico,South Africa,0.6049,0.2568,0.1383,1,2-0,0.1251
group,A,Mexico,South Africa,0.6049,0.2568,0.1383,2,1-0,0.124
group,A,Mexico,South Africa,0.6049,0.2568,0.1383,3,1-1,0.1215
group,A,Mexico,South Africa,0.6049,0.2568,0.1383,4,2-1,0.0951
group,A,Mexico,South Africa,0.6049,0.2568,0.1383,5,0-0,0.0931
group,A,Mexico,Czech Republic,0.3988,0.2914,0.3098,1,1-1,0.139
group,A,Mexico,Czech Republic,0.3988,0.2914,0.3098,2,2-1,0.0884
group,A,Mexico,Czech Republic,0.3988,0.2914,0.3098,3,0-0,0.0833
group,A,Mexico,Czech Republic,0.3988,0.2914,0.3098,4,1-0,0.0771
group,A,Mexico,Czech Republic,0.3988,0.2914,0.3098,5,1-2,0.0767
group,A,South Korea,South Africa,0.3803,0.3249,0.2948,1,1-1,0.1527
group,A,South Korea,South Africa,0.3803,0.3249,0.2948,2,0-0,0.1228
group,A,South Korea,South Africa,0.3803,0.3249,0.2948,3,1-0,0.1049
group,A,South Korea,South Africa,0.3803,0.3249,0.2948,4,0-1,0.0872
group,A,South Korea,South Africa,0.3803,0.3249,0.2948,5,2-1,0.081
group,A,South Korea,Czech Republic,0.1979,0.266,0.5361,1,1-1,0.1272
group,A,South Korea,Czech Republic,0.1979,0.266,0.5361,2,0-2,0.098
group,A,South Korea,Czech Republic,0.1979,0.266,0.5361,3,1-2,0.098
group,A,South Korea,Czech Republic,0.1979,0.266,0.5361,4,0-1,0.0958
group,A,South Korea,Czech Republic,0.1979,0.266,0.5361,5,0-0,0.0791
group,A,South Africa,Czech Republic,0.1663,0.262,0.5717,1,1-1,0.1249
group,A,South Africa,Czech Republic,0.1663,0.262,0.5717,2,0-1,0.1146
group,A,South Africa,Czech Republic,0.1663,0.262,0.5717,3,0-2,0.1131
group,A,South Africa,Czech Republic,0.1663,0.262,0.5717,4,1-2,0.0968
group,A,South Africa,Czech Republic,0.1663,0.262,0.5717,5,0-0,0.088
group,B,Canada,Switzerland,0.3365,0.2948,0.3687,1,1-1,0.1408
group,B,Canada,Switzerland,0.3365,0.2948,0.3687,2,0-0,0.0861
group,B,Canada,Switzerland,0.3365,0.2948,0.3687,3,1-2,0.0846
