group,team,p_1st,p_2nd,p_3rd,p_4th,exp_pts,exp_gd,exp_gf
A,Mexico,0.5350997401547546,0.2672087933512546,0.14154744730790855,0.05614401918608252,5.532268905529482,2.1088156665199502,5.066962009917857
A,Czech Republic,0.24655538042998434,0.3594569869770337,0.2524495693219764,0.1415380632710059,4.482766339782931,0.7707105335573918,4.4084082158393025
A,South Korea,0.17571152663948528,0.26607402208107467,0.35247544541063897,0.20573900586880134,4.126404235927944,-0.3210455339412297,3.685917032529655
A,South Africa,0.04263335277577593,0.10726019759063754,0.25352753795947597,0.5965789116741111,2.310035069349251,-2.558480666136106,2.5187367953675044
B,Switzerland,0.5900628806701925,0.3210777971059042,0.07356348894758825,0.0152958332763149,6.36502088067807,3.807883027987994,6.536076207016993
B,Canada,0.37069305370004413,0.5170398092177841,0.092230735263163,0.020036401819008592,6.0912368794284015,3.3849925783719805,6.301221834246257
B,Bosnia and Herzegovina,0.027872753505607716,0.1064227889737524,0.548615778269883,0.31708867925075673,2.511568330763207,-2.444124749912182,2.665248321141897
B,Qatar,0.011371312124155484,0.055459604702559104,0.2855899975193659,0.6475790856539195,1.8339028755957456,-4.748750856447795,3.0184440730592326
C,Brazil,0.758053930237454,0.184057836282988,0.05012327632889172,0.0077649571506668135,7.011474869888996,5.0448509623319095,7.14604865987211
C,Morocco,0.17836362828586041,0.549374414639454,0.21704554988161473,0.05521640719307143,4.944167451317972,1.3031054312541457,4.040241033783305
C,Scotland,0.05610570799187714,0.21833279263355115,0.5469997015177807,0.17856179785679197,3.366650717859798,-0.9173022726090696,3.1927509282988638
C,Haiti,0.007476733484809077,0.04823495644400714,0.1858314722717139,0.7584568377994703,1.4674325162813533,-5.430654120976981,2.1469666724900676
D,Turkey,0.41213091803631163,0.25556839350684424,0.1813855050271954,0.15091518342964924,4.866945372713131,0.9842403524445085,4.18302796230968
D,United States,0.2341217762355569,0.22968386035882102,0.24985169333581228,0.28634267006981035,3.9735249201267018,-0.20569622419772074,3.669683267478161
D,Paraguay,0.22243655622069308,0.3267857893345647,0.27387745966803045,0.17690019477671212,4.202802455062675,0.21796625518006915,3.06851154371145
D,Australia,0.131310749507439,0.1879619567997704,0.2948853419689625,0.3858419517238286,3.256830154065941,-0.9965103834268593,2.8048650327502487
E,Germany,0.673228371173677,0.2492680573363918,0.07106670974020364,0.006436861749727158,6.732986892547701,5.321045078520634,7.030646806203289
E,Ecuador,0.2682764493270304,0.5436330040099817,0.16878645081014151,0.019304095852846603,5.6525539148668775,2.4256184443246447,4.056540080110695
E,Ivory Coast,0.05645576695320656,0.1932306351838609,0.6670893091764079,0.08322428868652473,3.6728075823681436,-0.6576766423515961,2.693666899707009
E,Curaçao,0.0020394125460856923,0.013868303469765926,0.09305753027324691,0.8910347537109016,0.8241353884004461,-7.08898688049369,1.0202839683065241
F,Netherlands,0.647491181011349,0.2562394953915592,0.07079095659833691,0.02547836699875525,6.370899479332242,3.170133395146168,5.766476139408105
F,Japan,0.2803391761793815,0.48091932440844015,0.16851608730716244,0.07022541210501622,5.244598802966011,1.340842393955457,4.198769150338965
F,Sweden,0.045769841040750915,0.14590868587511932,0.3477019502021844,0.46061952288194546,2.7285217821401933,-2.267774770897377,3.0477182812361905
F,Tunisia,0.02639980176851914,0.11693249432488156,0.4129910058923165,0.4436766980142834,2.252370976151184,-2.2432010182042488,1.4908968289439624
G,Belgium,0.5699712659145144,0.2479647969862774,0.1263485413590464,0.05571539574016176,5.684903405168072,2.042573050716008,4.159286514651346
