stage,group,home_team,away_team,p_home,p_draw,p_away,rank,score,prob
group,C,Morocco,Scotland,0.5056,0.3382,0.1562,2,0-0,0.1803
group,C,Morocco,Scotland,0.5056,0.3382,0.1562,3,1-1,0.1351
group,C,Morocco,Scotland,0.5056,0.3382,0.1562,4,2-0,0.1242
group,C,Morocco,Scotland,0.5056,0.3382,0.1562,5,0-1,0.0758
group,C,Morocco,Haiti,0.7524,0.1986,0.0491,1,2-0,0.1867
group,C,Morocco,Haiti,0.7524,0.1986,0.0491,2,1-0,0.1778
group,C,Morocco,Haiti,0.7524,0.1986,0.0491,3,3-0,0.1236
group,C,Morocco,Haiti,0.7524,0.1986,0.0491,4,0-0,0.1047
group,C,Morocco,Haiti,0.7524,0.1986,0.0491,5,1-1,0.0799
group,C,Scotland,Haiti,0.6692,0.2074,0.1234,1,2-0,0.1083
group,C,Scotland,Haiti,0.6692,0.2074,0.1234,2,1-1,0.098
group,C,Scotland,Haiti,0.6692,0.2074,0.1234,3,2-1,0.0975
group,C,Scotland,Haiti,0.6692,0.2074,0.1234,4,1-0,0.0841
group,C,Scotland,Haiti,0.6692,0.2074,0.1234,5,3-0,0.0817
group,D,United States,Paraguay,0.2616,0.2886,0.4498,1,1-1,0.1379
group,D,United States,Paraguay,0.2616,0.2886,0.4498,2,1-2,0.0933
group,D,United States,Paraguay,0.2616,0.2886,0.4498,3,0-0,0.0844
group,D,United States,Paraguay,0.2616,0.2886,0.4498,4,0-1,0.0834
group,D,United States,Paraguay,0.2616,0.2886,0.4498,5,0-2,0.0806
group,D,United States,Australia,0.3155,0.2948,0.3898,1,1-1,0.1408
group,D,United States,Australia,0.3155,0.2948,0.3898,2,1-2,0.0873
group,D,United States,Australia,0.3155,0.2948,0.3898,3,0-0,0.0859
group,D,United States,Australia,0.3155,0.2948,0.3898,4,2-1,0.0775
group,D,United States,Australia,0.3155,0.2948,0.3898,5,0-1,0.077
group,D,United States,Turkey,0.258,0.2411,0.5009,1,1-1,0.1038
group,D,United States,Turkey,0.258,0.2411,0.5009,2,1-2,0.0921
group,D,United States,Turkey,0.258,0.2411,0.5009,3,2-2,0.0667
group,D,United States,Turkey,0.258,0.2411,0.5009,4,2-1,0.0651
group,D,United States,Turkey,0.258,0.2411,0.5009,5,0-2,0.0636
group,D,Paraguay,Australia,0.3582,0.3735,0.2683,1,0-0,0.1923
group,D,Paraguay,Australia,0.3582,0.3735,0.2683,2,1-1,0.1534
group,D,Paraguay,Australia,0.3582,0.3735,0.2683,3,1-0,0.1438
group,D,Paraguay,Australia,0.3582,0.3735,0.2683,4,0-1,0.1159
group,D,Paraguay,Australia,0.3582,0.3735,0.2683,5,2-0,0.0796
group,D,Paraguay,Turkey,0.3247,0.3274,0.3478,1,1-1,0.1532
group,D,Paraguay,Turkey,0.3247,0.3274,0.3478,2,0-0,0.1259
group,D,Paraguay,Turkey,0.3247,0.3274,0.3478,3,0-1,0.1017
group,D,Paraguay,Turkey,0.3247,0.3274,0.3478,4,1-0,0.0968
group,D,Paraguay,Turkey,0.3247,0.3274,0.3478,5,1-2,0.0764
group,D,Australia,Turkey,0.2761,0.3213,0.4027,1,1-1,0.1503
group,D,Australia,Turkey,0.2761,0.3213,0.4027,2,0-0,0.1233
group,D,Australia,Turkey,0.2761,0.3213,0.4027,3,0-1,0.1127
group,D,Australia,Turkey,0.2761,0.3213,0.4027,4,1-0,0.086
group,D,Australia,Turkey,0.2761,0.3213,0.4027,5,1-2,0.0827
group,E,Germany,Ecuador,0.3137,0.3657,0.3207,1,0-0,0.1869
group,E,Germany,Ecuador,0.3137,0.3657,0.3207,2,1-1,0.1502
group,E,Germany,Ecuador,0.3137,0.3657,0.3207,3,0-1,0.135
group,E,Germany,Ecuador,0.3137,0.3657,0.3207,4,1-0,0.1328
group,E,Germany,Ecuador,0.3137,0.3657,0.3207,5,0-2,0.0677
group,E,Germany,Ivory Coast,0.4961,0.3037,0.2002,1,1-0,0.1395
group,E,Germany,Ivory Coast,0.4961,0.3037,0.2002,2,1-1,0.139
group,E,Germany,Ivory Coast,0.4961,0.3037,0.2002,3,0-0,0.125
group,E,Germany,Ivory Coast,0.4961,0.3037,0.2002,4,2-0,0.1083
group,E,Germany,Ivory Coast,0.4961,0.3037,0.2002,5,2-1,0.087
group,E,Germany,Curaçao,0.9544,0.0363,0.0093,1,4-0,0.1183
group,E,Germany,Curaçao,0.9544,0.0363,0.0093,2,3-0,0.1062
group,E,Germany,Curaçao,0.9544,0.0363,0.0093,3,5-0,0.1054
group,E,Germany,Curaçao,0.9544,0.0363,0.0093,4,6-0,0.0783
group,E,Germany,Curaçao,0.9544,0.0363,0.0093,5,2-0,0.0715
group,E,Ecuador,Ivory Coast,0.3791,0.4482,0.1726,1,0-0,0.3269
group,E,Ecuador,Ivory Coast,0.3791,0.4482,0.1726,2,1-0,0.2165
group,E,Ecuador,Ivory Coast,0.3791,0.4482,0.1726,3,0-1,0.1156
group,E,Ecuador,Ivory Coast,0.3791,0.4482,0.1726,4,1-1,0.1134
group,E,Ecuador,Ivory Coast,0.3791,0.4482,0.1726,5,2-0,0.0865
group,E,Ecuador,Curaçao,0.8437,0.1343,0.0221,1,2-0,0.2038
group,E,Ecuador,Curaçao,0.8437,0.1343,0.0221,2,1-0,0.1665
group,E,Ecuador,Curaçao,0.8437,0.1343,0.0221,3,3-0,0.1609
group,E,Ecuador,Curaçao,0.8437,0.1343,0.0221,4,4-0,0.0953
group,E,Ecuador,Curaçao,0.8437,0.1343,0.0221,5,0-0,0.0781
group,E,Ivory Coast,Curaçao,0.7703,0.1812,0.0484,1,2-0,0.1798
group,E,Ivory Coast,Curaçao,0.7703,0.1812,0.0484,2,1-0,0.1593
group,E,Ivory Coast,Curaçao,0.7703,0.1812,0.0484,3,3-0,0.128
group,E,Ivory Coast,Curaçao,0.7703,0.1812,0.0484,4,0-0,0.0879
group,E,Ivory Coast,Curaçao,0.7703,0.1812,0.0484,5,1-1,0.0772
group,F,Netherlands,Japan,0.2405,0.3562,0.4033,1,0-0,0.1758
group,F,Netherlands,Japan,0.2405,0.3562,0.4033,2,1-1,0.1503
group,F,Netherlands,Japan,0.2405,0.3562,0.4033,3,0-1,0.1495
group,F,Netherlands,Japan,0.2405,0.3562,0.4033,4,1-0,0.1022
group,F,Netherlands,Japan,0.2405,0.3562,0.4033,5,0-2,0.0911
group,F,Netherlands,Tunisia,0.6997,0.2093,0.0911,1,2-0,0.1451
group,F,Netherlands,Tunisia,0.6997,0.2093,0.0911,2,1-0,0.1311
group,F,Netherlands,Tunisia,0.6997,0.2093,0.0911,3,3-0,0.0994
group,F,Netherlands,Tunisia,0.6997,0.2093,0.0911,4,1-1,0.098
group,F,Netherlands,Tunisia,0.6997,0.2093,0.0911,5,2-1,0.0904
group,F,Netherlands,Sweden,0.6674,0.191,0.1415,1,2-1,0.0914
group,F,Netherlands,Sweden,0.6674,0.191,0.1415,2,1-1,0.0815
group,F,Netherlands,Sweden,0.6674,0.191,0.1415,3,3-1,0.0788
group,F,Netherlands,Sweden,0.6674,0.191,0.1415,4,2-0,0.078
group,F,Netherlands,Sweden,0.6674,0.191,0.1415,5,3-0,0.0673
group,F,Japan,Tunisia,0.6707,0.2624,0.0669,1,1-0,0.2243
group,F,Japan,Tunisia,0.6707,0.2624,0.0669,2,2-0,0.1818
group,F,Japan,Tunisia,0.6707,0.2624,0.0669,3,0-0,0.1617
group,F,Japan,Tunisia,0.6707,0.2624,0.0669,4,3-0,0.094
group,F,Japan,Tunisia,0.6707,0.2624,0.0669,5,1-1,0.0897
group,F,Japan,Sweden,0.6712,0.2319,0.0969,1,2-0,0.1433
group,F,Japan,Sweden,0.6712,0.2319,0.0969,2,1-0,0.1318
group,F,Japan,Sweden,0.6712,0.2319,0.0969,3,1-1,0.1083
group,F,Japan,Sweden,0.6712,0.2319,0.0969,4,3-0,0.0932
group,F,Japan,Sweden,0.6712,0.2319,0.0969,5,2-1,0.0911
group,F,Tunisia,Sweden,0.2406,0.27,0.4894,1,1-1,0.1285
group,F,Tunisia,Sweden,0.2406,0.27,0.4894,2,1-2,0.0961
group,F,Tunisia,Sweden,0.2406,0.27,0.4894,3,0-1,0.0869
group,F,Tunisia,Sweden,0.2406,0.27,0.4894,4,0-2,0.0853
group,F,Tunisia,Sweden,0.2406,0.27,0.4894,5,0-0,0.0745
group,G,Belgium,Iran,0.5204,0.2754,0.2042,1,1-1,0.1318
group,G,Belgium,Iran,0.5204,0.2754,0.2042,2,1-0,0.1021
group,G,Belgium,Iran,0.5204,0.2754,0.2042,3,2-0,0.0989
group,G,Belgium,Iran,0.5204,0.2754,0.2042,4,2-1,0.0966
group,G,Belgium,Iran,0.5204,0.2754,0.2042,5,0-0,0.087
group,G,Belgium,Egypt,0.5372,0.3021,0.1607,1,1-0,0.1649
group,G,Belgium,Egypt,0.5372,0.3021,0.1607,2,0-0,0.1409
group,G,Belgium,Egypt,0.5372,0.3021,0.1607,3,1-1,0.1312
group,G,Belgium,Egypt,0.5372,0.3021,0.1607,4,2-0,0.1255
group,G,Belgium,Egypt,0.5372,0.3021,0.1607,5,2-1,0.0825
group,G,Belgium,New Zealand,0.8068,0.146,0.0473,1,2-0,0.157
group,G,Belgium,New Zealand,0.8068,0.146,0.0473,2,3-0,0.131
group,G,Belgium,New Zealand,0.8068,0.146,0.0473,3,1-0,0.1192
group,G,Belgium,New Zealand,0.8068,0.146,0.0473,4,4-0,0.0819
group,G,Belgium,New Zealand,0.8068,0.146,0.0473,5,2-1,0.077
group,G,Iran,Egypt,0.3663,0.3732,0.2605,1,0-0,0.1987
group,G,Iran,Egypt,0.3663,0.3732,0.2605,2,1-0,0.1534
group,G,Iran,Egypt,0.3663,0.3732,0.2605,3,1-1,0.1489
