group,team,p_1st,p_2nd,p_3rd,p_4th,exp_pts,exp_gd,exp_gf
A,Mexico,0.8620813271647049,0.13791867283529496,0.0,0.0,7.89462441696522,3.8636967745196107,4.795114092648269
A,South Korea,0.13791867283529496,0.6927288452130342,0.1437064072185057,0.02564607473316497,5.180859241188037,0.9957484688499201,3.662665027898748
A,South Africa,0.0,0.09539893309379201,0.15178827807136508,0.7528127888348427,1.591137891146416,-2.9957484688499196,1.6669165590488282
A,Czech Republic,0.0,0.07395354885787864,0.704505314710129,0.2215411364319921,1.8704961240571498,-1.8636967745196118,2.9314173181286574
B,Canada,0.5586983878101064,0.4413016121898937,0.0,0.0,5.092219911142422,5.675795489588647,7.975917787657078
B,Switzerland,0.4413016121898937,0.5586983878101064,0.0,0.0,5.61584246271363,3.3242045104113545,6.300122298068431
B,Qatar,0.0,0.0,0.15068120189174844,0.8493187981082517,1.6524194061853916,-7.157596970162949,1.7240087927625611
B,Bosnia and Herzegovina,0.0,0.0,0.8493187981082517,0.15068120189174844,3.147204793304463,-1.842403029837051,3.8816057629255103
C,Brazil,0.7034079749194541,0.2965920250805459,0.0,0.0,6.185711033533622,4.249510548129878,6.319800754413636
C,Morocco,0.2965920250805459,0.6959708011978452,0.0074371737216089116,0.0,6.531114696263149,2.6910067121810455,4.0685066038343125
C,Scotland,0.0,0.0074371737216089116,0.846289007683521,0.14627381859487001,1.5695960311456012,-2.249510548129879,2.0702902062837576
C,Haiti,0.0,0.0,0.14627381859487001,0.8537261814051299,1.3374496166444225,-4.691006712181045,1.3774998916532661
D,United States,1.0000000000000002,0.0,0.0,0.0,6.932613014498489,4.285421500263402,7.3998251221404265
D,Paraguay,0.0,0.475448156679858,0.38374791635261607,0.14080392696752614,4.691359982304959,-1.643817570236592,3.117428572222546
D,Australia,0.0,0.5245518433201422,0.2175075159305238,0.2579406407493342,4.043624505429659,-0.3561824297634083,2.7612461424591377
D,Turkey,0.0,0.0,0.39874456771686034,0.6012554322831399,1.8474750916234324,-2.285421500263401,2.1144036218770252
E,Germany,1.0000000000000002,0.0,0.0,0.0,7.493618814149028,7.165750928891493,9.974391256486587
E,Ecuador,0.0,0.054118456778366256,0.8446184220097974,0.1012631212118365,2.1534862191822834,-1.1657509288914916,0.808640327595095
E,Ivory Coast,0.0,0.8957052582650198,0.08603042644306216,0.018264315291918225,5.525970730563899,1.7600086273446183,4.176023466093749
E,Curaçao,0.0,0.05017628495661412,0.06935115154714061,0.8804725634962455,1.3396755350908496,-7.76000862734462,1.416014838749132
F,Netherlands,0.8258914516034075,0.17410854839659254,0.0,0.0,6.528107783445273,5.6729724162901976,9.231863645173425
F,Japan,0.14777336574758151,0.72191377181145,0.1303128624409685,0.0,6.19259093736129,5.2446291789857415,7.92135026161763
F,Sweden,0.02633518264901106,0.10397767979195746,0.8696871375590315,0.0,3.599173824980807,-1.2446291789857418,6.676721082631888
F,Tunisia,0.0,0.0,0.0,1.0,0.33750853319341456,-9.672972416290197,1.558891228883226
G,Belgium,0.5477730671571601,0.30657600898023,0.1092604962848106,0.03639042757779922,4.566842642670053,1.9895755527328278,3.4847322796072775
G,Egypt,0.3795514021819283,0.30993951213886345,0.3105090856792082,0.0,5.264853574742532,1.8740879686590808,4.832361241898169
G,Iran,0.07267553066091151,0.35027913920356424,0.5596022435744281,0.017443086561096027,3.442350137138913,0.1259120313409191,2.9582732732390884
G,New Zealand,0.0,0.033205339677342266,0.020628174461552986,0.9461664858611046,1.2973289498733163,-3.989575552732828,3.4951567268744492
H,Spain,0.8754213857700566,0.084064402646293,0.04051421158365032,0.0,6.181110876476684,4.954321370786319,5.507637643892053
H,Uruguay,0.084064402646293,0.10386018406563927,0.5573438621346374,0.25473155115343027,2.5963124831065727,-0.9543213707863192,3.553316273105735
H,Cape Verde,0.04051421158365032,0.47049734423367445,0.3535329670012572,0.13545547718141793,3.2602329788883893,-0.15905837102996775,3.009952529140179
H,Saudi Arabia,0.0,0.3415780690543932,0.04860895928045502,0.6098129716651517,2.455164053058078,-3.8409416289700316,2.169010900170147
I,France,0.7086591375078332,0.29134086249216673,0.0,0.0,7.522288738723699,5.192094955561498,7.455575342993443
I,Norway,0.29134086249216673,0.7086591375078332,0.0,0.0,7.1758669243763995,3.8079050444385003,8.263480387431946
I,Senegal,0.0,0.0,0.8758797178800865,0.12412028211991336,2.2239989417423223,-1.9239190143743397,4.601718300687266
I,Iraq,0.0,0.0,0.12412028211991336,0.8758797178800865,0.5741809523087089,-7.0760809856256595,1.5256373150616063
J,Argentina,1.0000000000000004,0.0,0.0,0.0,8.635778286974436,7.191679111168154,7.561990387732746
J,Austria,0.0,0.6397436027624607,0.3602563972375397,0.0,4.297068120530199,-0.06465212219204847,3.8527414051953075
J,Algeria,0.0,0.3602563972375397,0.6235076285820433,0.016235974180417365,4.391850535591211,-1.9353478778079525,2.9173935273873552
J,Jordan,0.0,0.0,0.016235974180417365,0.9837640258195832,0.25621112392204426,-5.1916791111681535,2.3703112765645926
K,Colombia,0.5699971047215125,0.43000289527848773,0.0,0.0,7.127372400447587,2.7008984672091394,5.201751028391938
K,Portugal,0.43000289527848773,0.5699971047215125,0.0,0.0,5.581318142693941,5.299101532790863,7.500852561182801
K,Uzbekistan,0.0,0.0,0.29576443211546755,0.7042355678845327,1.1942115193622398,-7.178277688643483,1.6051570782071805
K,DR Congo,0.0,0.0,0.7042355678845327,0.29576443211546755,2.498870257621925,-0.8217223113565185,1.7834347668506623
L,England,0.8480817491511795,0.1519182508488203,0.0,0.0,6.58925092020977,3.9136118753253966,6.341305260919436
L,Croatia,0.11657859845408428,0.5342818306658678,0.34208564615461345,0.0070539247254342895,5.16741130003739,0.11912907461854239,4.826683903286491
L,Ghana,0.03533965239473603,0.31379991848531175,0.650860429119952,0.0,4.617758687285074,-0.11912907461854239,1.7075548286679483
L,Panama,0.0,0.0,0.0070539247254342895,0.9929460752745655,0.2841543916774981,-3.9136118753253966,0.4276933855940401
