group,team,p_1st,p_2nd,p_3rd,p_4th,exp_pts,exp_gd,exp_gf
A,Mexico,0.696942753450075,0.2079178771992001,0.09366144420520837,0.001477925145516403,6.710192109403756,3.5613220864922392,5.3329007936226365
A,South Korea,0.2871500016048747,0.5361814355135048,0.17033734393593777,0.006331218945682459,6.111721424440179,1.2981231568772904,4.5028264169004855
A,Czech Republic,0.012905831781610573,0.19466606066195438,0.550104990851619,0.24232311670481563,2.7033302143120324,-1.2039447718118081,3.53883031609618
A,South Africa,0.003001413163439674,0.06123462662534037,0.1858962210072345,0.7498677392039852,1.5030473033172544,-3.6555004715577235,1.614577554308545
B,Canada,0.4614316297731502,0.3358603603874036,0.16294704624896825,0.03976096359047812,4.595862110239763,1.7238062464505703,4.478444964139069
B,Switzerland,0.39422765533444054,0.42016042761576794,0.153670646253906,0.03194127079588565,4.9423522353423035,1.7674594856174082,4.442894143475465
B,Bosnia and Herzegovina,0.1324517531174385,0.17850907020292933,0.535661334179928,0.15337784249970438,3.642264644130504,-0.28565800504310473,3.58112263312649
B,Qatar,0.011888961774970948,0.06547014179389926,0.14772097331719797,0.7749199231139321,1.9806461695724837,-3.2056077270248733,2.1785252123826293
C,Brazil,0.696041442640338,0.25014439740706285,0.04099676486967905,0.012817395082919993,5.851740745088213,3.8509320433596126,6.699375039621961
C,Morocco,0.26505924690652877,0.6177662415964486,0.0954781067285393,0.021696404768483443,5.46847757253208,2.4049462020872725,4.380393131830135
C,Scotland,0.031155697880277916,0.09833501098562311,0.7131800772554148,0.15732921387868426,2.3755890571923497,-1.963450038036104,2.668237244373356
C,Haiti,0.0077436125728552185,0.03375435001086551,0.15034505114636693,0.8081569862699124,1.5819654001086065,-4.2924282074107785,2.1556526816318526
D,United States,0.5765481232314061,0.23858223550058505,0.16466195405308076,0.02020768721492842,5.454950362220247,2.4726503155199446,6.819618892673895
D,Australia,0.3309271882466987,0.3949282068294978,0.24427468520383688,0.029869919719966845,5.1829613371896,1.4565887549800471,3.9938110977360632
D,Turkey,0.060097251522785694,0.24584133892431315,0.3845915542360638,0.3094698553168376,3.4674282946666546,-0.9902598474684199,3.401181710121585
D,Paraguay,0.03242743699910982,0.12064821874560422,0.2064718065070188,0.6404525377482673,2.7779936081067196,-2.9389792230315734,3.109045007672123
E,Germany,0.6749101700826646,0.2229687629797344,0.10159326288904688,0.0005278040485541347,6.412197719602474,6.880297349684161,9.464540137611841
E,Ivory Coast,0.31067898235592367,0.5027212809100353,0.18482230182147583,0.0017774349125651888,6.35556653916793,2.045462206551948,3.951625926426331
E,Ecuador,0.014142607441798506,0.2686289854894644,0.6825188860430562,0.034709521025680826,3.7780496228312317,0.881969289921455,3.11815248763613
E,Curaçao,0.0002682401196132104,0.005680970620765891,0.03106554924642104,0.9629852400131999,0.5650624093195681,-9.807728846157561,1.677806779977221
F,Netherlands,0.6045087498069281,0.2523144000732133,0.11865050269520469,0.024526347424654003,5.76033258911928,3.121762415994485,6.808741905742709
F,Japan,0.23771550615965908,0.5393142859059583,0.19100318366209706,0.03196702427228583,5.530927517515211,2.5123851744107,5.537237432994642
F,Sweden,0.15324725746837908,0.20424131517783517,0.628722821377628,0.01378860597615775,4.146927578091423,1.3065808213099726,6.804809343496885
F,Tunisia,0.004528486565033781,0.004129998842993483,0.06162349226507032,0.9297180223269026,0.7978435288633892,-6.940728411715151,1.9070224048352826
